index,Vina,Drug,SMILES
0,-10.6,ERGOTAMINE,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C
1,-10,METERGOTAMINE,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CN(C8=CC=CC(=C78)C6=C5)C)C
2,-9.9,ABBV-744,CCNC(=O)C1=CC2=C(N1)C(=O)N(C=C2C3=C(C=CC(=C3)C(C)(C)O)OC4=C(C=C(C=C4C)F)C)C
3,-9.9,DERQUANTEL,CC1(C=COC2=C(O1)C=CC3=C2NCC34CC56CN7CCC(C7(CC5C4(C)C)C(=O)N6C)(C)O)C
4,-9.9,MERGOCRIPTINE,CC1=C2CC3C(=CC(CN3C)C(=O)NC4(C(=O)N5C(C(=O)N6CCCC6C5(O4)O)CC(C)C)C(C)C)C7=C2C(=CC=C7)N1
5,-9.8,ALVELESTAT,CC1=C(C=C(C(=O)N1C2=CC=CC(=C2)C(F)(F)F)C(=O)NCC3=NC=C(C=C3)S(=O)(=O)C)C4=CC=NN4C
6,-9.7,TOTROMBOPAG,CC1=C(C=C(C=C1)N2C(=O)C(C(=N2)C)N=NC3=CC=CC(=C3[O-])C4=CC(=CC=C4)C5=NNN=N5)C
7,-9.6,BROMOCRIPTINE,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O
8,-9.5,BISNAFIDE,CC(CNCCNCC(C)N1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)[N+](=O)[O-])N4C(=O)C5=CC=CC6=CC(=CC(=C65)C4=O)[N+](=O)[O-]
9,-9.5,NEDISERTIB,COC1=NN=C(C=C1)C(C2=C(C=C(C(=C2)C3=NC=NC4=C3C=CC(=C4)N5CCOCC5)F)Cl)O
10,-9.5,PREDNISOLONE METAZOATE,CC12CC(C3C(C1CCC2(C(=O)COC(=O)C4=CC(=CC=C4)S(=O)(=O)O)O)CCC5=CC(=O)C=CC35C)O
11,-9.4,ENTRECTINIB,CN1CCN(CC1)C2=CC(=C(C=C2)C(=O)NC3=NNC4=C3C=C(C=C4)CC5=CC(=CC(=C5)F)F)NC6CCOCC6
12,-9.4,FAZADINIUM,CC1=C(N(C2=CC=CC=[N+]12)N=NN3C4=CC=CC=[N+]4C(=C3C5=CC=CC=C5)C)C6=CC=CC=C6
13,-9.4,GALICAFTOR,C1CC1(C2=CC3=C(C=C2)OC(O3)(F)F)C(=O)NC4CC(OC5=C4C=CC(=C5)OC(F)F)C6=CC=C(C=C6)C(=O)O
14,-9.4,LORECIVIVINT,CC(C)CC(=O)NC1=CN=CC(=C1)C2=CC3=C(C=C2)NN=C3C4=NC5=C(N4)C=NC=C5C6=CC(=CC=C6)F
15,-9.4,TROVAFLOXACIN,C1C2C(C2N)CN1C3=C(C=C4C(=O)C(=CN(C4=N3)C5=C(C=C(C=C5)F)F)C(=O)O)F
16,-9.3,AMG-900,CC1=CSC(=C1)C2=NN=C(C3=CC=CC=C32)NC4=CC=C(C=C4)OC5=C(C=CC=N5)C6=NC(=NC=C6)N
17,-9.3,BOLMANTALATE,CC12CCC3C(C1CCC2OC(=O)C45CC6CC(C4)CC(C6)C5)CCC7=CC(=O)CCC37
18,-9.3,CE-326597,CC(C)N(CC1=CC=CC=C1)C(=O)CN2C3=CC=CC=C3N4C(=NN=C4C5=CC=CC=C5)C(C2=O)CC6=CNC7=CC=CC=C76
19,-9.3,OPIGOLIX,CC(C(=NS(=O)(=O)C1=C(C=CC(=C1)C(=C(C2=NC3=CC=CC=C3N2)C(=O)C4=C(C=CC(=C4)F)F)O)F)N)O
20,-9.3,OSI-7904,CC1=NC2=C(C3=C(C=CC(=C3)CNC4=CC5=C(C=C4)C(=O)N(C5)C(CCC(=O)O)C(=O)O)C=C2)C(=O)N1
21,-9.2,BGT-226,CN1C2=CN=C3C=CC(=CC3=C2N(C1=O)C4=CC(=C(C=C4)N5CCNCC5)C(F)(F)F)C6=CN=C(C=C6)OC
22,-9.2,BMS-986142,CC1=C(C=CC=C1N2C(=O)C3=C(C(=CC=C3)F)N(C2=O)C)C4=C(C=C(C5=C4C6=C(N5)CC(CC6)C(C)(C)O)C(=O)N)F
